imageUrl,title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url
https://lh3.googleusercontent.com/p/AF1QipMJQzgIXrRcNo5GjBQqzU7DUxHWMy-2uSIaYzS1=w452-h240-k-no,Farmageddon Brewery,5,2,,,,,http://farmageddonbrewing.com/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Farmageddon%20Brewery&query_place_id=ChIJi50raz0NYUgRpxy20FqoyCo
,Ards Brewing Company Ltd,5,1,34b Carrowdore Rd,Newtownards,,GB,https://www.facebook.com/ArdsBrewing/,,Brewery,https://www.google.com/maps/search/?api=1&query=Ards%20Brewing%20Company%20Ltd&query_place_id=ChIJiXj7OSFxYUgRR6Az9w5ohhA
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7NkirDQiZdE0TiEeu4rcXC0F992Wa2aMO02zOiSdceOyFKV4Ok16W3xhBlf3zRKBn5E9hSkLjx4TEKjSCBhmd_Ul5_SwRw-Fz2B_eECwo5E4IqI9MloFsffqBwPcoSVyCdkaMqw=w408-h306-k-no,Tennent Caledonian Breweries,4.5,293,161 Duke St,Glasgow,,GB,https://www.tennents.co.uk/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Tennent%20Caledonian%20Breweries&query_place_id=ChIJ426PKapGiEgR4pJ1yf1Pl_0
https://lh3.googleusercontent.com/p/AF1QipNuN6TCIc57MvtpcPhWYT8MQiv9oLTEQoy4fk_L=w408-h264-k-no,Salcombe Brewery Co.,4.6,35,"Estuary View, Ledstone","Kingsbridge, Devon",,GB,https://www.salcombebrewery.com/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Salcombe%20Brewery%20Co.&query_place_id=ChIJMfQbRpfgbEgRXnnfAGAU4XU
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxxGPsSLqGuZI_ZOKBClpBkYjiK6ctFBsUSEeGNKuGM45qkvHj961h3li5px8miPyLX8P8kIoSw2bEWz-yyd1lp5CBn1oibqy8Ig_jdufjMOaA1bQ2yFZ6KsEb3fg9gCqzczebc8A=w408-h272-k-no,Ludlow Brewing Co,4.8,386,"The Railway Shed, Station Dr",Ludlow,,GB,http://www.ludlowbrewery.co.uk/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Ludlow%20Brewing%20Co&query_place_id=ChIJn3-5NU1qcEgRJDhhTsHh1Ng
https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwCjyDxZLkwRSyF0rkHoaZog82YqVvSshzkeBOD9PL2yCAGhoatGn36ZV2iQ2_vKdde77kUuZtFL2vBAFJdEgTjn27FU5cJaxQGWY7A-_S-VNZdAYJwzDccMaBtvBrNSRYoFHIt=w408-h544-k-no,Wye Valley Brewery,4.8,58,,Bromyard,,GB,http://www.wyevalleybrewery.co.uk/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Wye%20Valley%20Brewery&query_place_id=ChIJbfaExxtQcEgRjwqbySg8WJo
https://lh3.googleusercontent.com/p/AF1QipNNRZgSxkHa7LVTvUIa6KthYfxqehUHogHm_Gmp=w408-h611-k-no,The Hop Shed Brewery & Tap Room,4.9,59,The Old Chicken Shed,Worcester,,GB,http://www.thehopshed.co.uk/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=The%20Hop%20Shed%20Brewery%20%26%20Tap%20Room&query_place_id=ChIJaekCsJ1XcEgREyolRl3snDA
https://lh3.googleusercontent.com/p/AF1QipPj-VoN0DUdFdpQ_2CyVxzZ1SZ0pGQBdgIw7IH3=w408-h408-k-no,Wilderness Brewery,4.9,15,"Mochdre Industrial Estate, 54",Newtown,,GB,http://www.wildernessbrew.co.uk/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Wilderness%20Brewery&query_place_id=ChIJ___PrFz7b0gR6apCZKayio4
https://lh3.googleusercontent.com/p/AF1QipM6rFF0cH7JIdrMln-OKMTUDiqvmAD1kckrsZPt=w408-h407-k-no,Nothing Bound Brewing Co,5,76,The Brewery at Chapel Farm,Bewdley,,GB,http://nothingbound.co.uk/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Nothing%20Bound%20Brewing%20Co&query_place_id=ChIJySj5KIb1cEgReL8XYXlmOM0
https://lh3.googleusercontent.com/p/AF1QipMS6vZB-c4xlAG79r0cXplOGTV24eJJ0RpxsUrx=w408-h272-k-no,Hobsons Brewery,4.7,36,"Newhouse Farm, Tenbury Rd",Kidderminster,,GB,https://www.hobsons-brewery.co.uk/,#ERROR!,Brewery,https://www.google.com/maps/search/?api=1&query=Hobsons%20Brewery&query_place_id=ChIJ1z8dFSpncEgRcD9nSTro6Sg
